model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC
PaDiM,VisA,capsules,123,degradation,gaussian_blur,mild,none,0.6107499599456787
PaDiM,VisA,capsules,123,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,capsules,123,degradation,gaussian_blur,moderate,none,0.5
PaDiM,VisA,capsules,123,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,capsules,123,degradation,gaussian_blur,severe,none,0.4900000095367431
PaDiM,VisA,capsules,123,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,VisA,capsules,123,degradation,motion_blur,mild,none,0.5951666831970215
PaDiM,VisA,capsules,123,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,123,degradation,motion_blur,moderate,none,0.5662500262260437
PaDiM,VisA,capsules,123,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,123,degradation,motion_blur,severe,none,0.5666666030883789
PaDiM,VisA,capsules,123,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,123,degradation,sensor_noise,mild,none,0.4068333208560943
PaDiM,VisA,capsules,123,rescue,sensor_noise,mild,NLM Denoise,0.5075000524520874
PaDiM,VisA,capsules,123,degradation,sensor_noise,moderate,none,0.5016667246818542
PaDiM,VisA,capsules,123,rescue,sensor_noise,moderate,NLM Denoise,0.5
PaDiM,VisA,capsules,123,degradation,sensor_noise,severe,none,0.5262500047683716
PaDiM,VisA,capsules,123,rescue,sensor_noise,severe,NLM Denoise,0.5
PaDiM,VisA,capsules,123,degradation,fog_haze,mild,none,0.6155833005905151
PaDiM,VisA,capsules,123,rescue,fog_haze,mild,Dehaze (Dark Channel),0.503083348274231
PaDiM,VisA,capsules,123,degradation,fog_haze,moderate,none,0.5651666522026062
PaDiM,VisA,capsules,123,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5223333239555359
PaDiM,VisA,capsules,123,degradation,fog_haze,severe,none,0.503333330154419
PaDiM,VisA,capsules,123,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5140000581741333
PaDiM,VisA,capsules,456,baseline,clean,none,none,0.5537499785423279
PaDiM,VisA,capsules,456,degradation,low_light,mild,none,0.5018333196640015
PaDiM,VisA,capsules,456,rescue,low_light,mild,CLAHE,0.5105000138282776
PaDiM,VisA,capsules,456,rescue,low_light,mild,Retinex,0.5496666431427002
PaDiM,VisA,capsules,456,degradation,low_light,moderate,none,0.5236666798591614
PaDiM,VisA,capsules,456,rescue,low_light,moderate,CLAHE,0.5050833225250244
PaDiM,VisA,capsules,456,rescue,low_light,moderate,Retinex,0.5021666288375854
PaDiM,VisA,capsules,456,degradation,low_light,severe,none,0.6421666145324707
PaDiM,VisA,capsules,456,rescue,low_light,severe,CLAHE,0.5065833330154419
PaDiM,VisA,capsules,456,rescue,low_light,severe,Retinex,0.4943333268165588
PaDiM,VisA,capsules,456,degradation,gaussian_blur,mild,none,0.496666669845581
PaDiM,VisA,capsules,456,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,capsules,456,degradation,gaussian_blur,moderate,none,0.5
PaDiM,VisA,capsules,456,rescue,gaussian_blur,moderate,Wiener,0.5
PaDiM,VisA,capsules,456,degradation,gaussian_blur,severe,none,0.5
PaDiM,VisA,capsules,456,rescue,gaussian_blur,severe,Wiener,0.5
PaDiM,VisA,capsules,456,degradation,motion_blur,mild,none,0.4950000047683716
PaDiM,VisA,capsules,456,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,456,degradation,motion_blur,moderate,none,0.5
PaDiM,VisA,capsules,456,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,456,degradation,motion_blur,severe,none,0.5
PaDiM,VisA,capsules,456,rescue,motion_blur,severe,Wiener (Motion PSF),0.5
PaDiM,VisA,capsules,456,degradation,sensor_noise,mild,none,0.4214999973773956
PaDiM,VisA,capsules,456,rescue,sensor_noise,mild,NLM Denoise,0.5214999914169312
PaDiM,VisA,capsules,456,degradation,sensor_noise,moderate,none,0.5
PaDiM,VisA,capsules,456,rescue,sensor_noise,moderate,NLM Denoise,0.4960833191871643
PaDiM,VisA,capsules,456,degradation,sensor_noise,severe,none,0.5
PaDiM,VisA,capsules,456,rescue,sensor_noise,severe,NLM Denoise,0.4534166753292084
PaDiM,VisA,capsules,456,degradation,fog_haze,mild,none,0.546999990940094
PaDiM,VisA,capsules,456,rescue,fog_haze,mild,Dehaze (Dark Channel),0.5019166469573975
PaDiM,VisA,capsules,456,degradation,fog_haze,moderate,none,0.5
PaDiM,VisA,capsules,456,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.5036666989326477
PaDiM,VisA,capsules,456,degradation,fog_haze,severe,none,0.5
PaDiM,VisA,capsules,456,rescue,fog_haze,severe,Dehaze (Dark Channel),0.5
PaDiM,VisA,cashew,42,baseline,clean,none,none,0.8023999929428101
PaDiM,VisA,cashew,42,degradation,low_light,mild,none,0.7513999938964844
PaDiM,VisA,cashew,42,rescue,low_light,mild,CLAHE,0.6958000063896179
PaDiM,VisA,cashew,42,rescue,low_light,mild,Retinex,0.5067999958992004
PaDiM,VisA,cashew,42,degradation,low_light,moderate,none,0.6734000444412231
PaDiM,VisA,cashew,42,rescue,low_light,moderate,CLAHE,0.6216000318527222
PaDiM,VisA,cashew,42,rescue,low_light,moderate,Retinex,0.3959999680519104
PaDiM,VisA,cashew,42,degradation,low_light,severe,none,0.8221999406814575
PaDiM,VisA,cashew,42,rescue,low_light,severe,CLAHE,0.7646999955177307
PaDiM,VisA,cashew,42,rescue,low_light,severe,Retinex,0.4950000047683716
PaDiM,VisA,cashew,42,degradation,gaussian_blur,mild,none,0.8078000545501709
PaDiM,VisA,cashew,42,rescue,gaussian_blur,mild,Wiener,0.5
PaDiM,VisA,cashew,42,degradation,gaussian_blur,moderate,none,0.7425999641418457
PaDiM,VisA,cashew,42,rescue,gaussian_blur,moderate,Wiener,0.5214999914169312
PaDiM,VisA,cashew,42,degradation,gaussian_blur,severe,none,0.5
PaDiM,VisA,cashew,42,rescue,gaussian_blur,severe,Wiener,0.5212000012397766
PaDiM,VisA,cashew,42,degradation,motion_blur,mild,none,0.7417999505996704
PaDiM,VisA,cashew,42,rescue,motion_blur,mild,Wiener (Motion PSF),0.5
PaDiM,VisA,cashew,42,degradation,motion_blur,moderate,none,0.4803999960422516
PaDiM,VisA,cashew,42,rescue,motion_blur,moderate,Wiener (Motion PSF),0.5
PaDiM,VisA,cashew,42,degradation,motion_blur,severe,none,0.5
PaDiM,VisA,cashew,42,rescue,motion_blur,severe,Wiener (Motion PSF),0.5577999949455261
PaDiM,VisA,cashew,42,degradation,sensor_noise,mild,none,0.4100000262260437
PaDiM,VisA,cashew,42,rescue,sensor_noise,mild,NLM Denoise,0.603600025177002
PaDiM,VisA,cashew,42,degradation,sensor_noise,moderate,none,0.4737999737262726
PaDiM,VisA,cashew,42,rescue,sensor_noise,moderate,NLM Denoise,0.5579999685287476
PaDiM,VisA,cashew,42,degradation,sensor_noise,severe,none,0.5
PaDiM,VisA,cashew,42,rescue,sensor_noise,severe,NLM Denoise,0.6065999865531921
PaDiM,VisA,cashew,42,degradation,fog_haze,mild,none,0.5720000267028809
PaDiM,VisA,cashew,42,rescue,fog_haze,mild,Dehaze (Dark Channel),0.48989999294281
PaDiM,VisA,cashew,42,degradation,fog_haze,moderate,none,0.515500009059906
PaDiM,VisA,cashew,42,rescue,fog_haze,moderate,Dehaze (Dark Channel),0.4704000055789947
PaDiM,VisA,cashew,42,degradation,fog_haze,severe,none,0.4934999942779541
PaDiM,VisA,cashew,42,rescue,fog_haze,severe,Dehaze (Dark Channel),0.4950000047683716
PaDiM,VisA,cashew,123,baseline,clean,none,none,0.7305999994277954
PaDiM,VisA,cashew,123,degradation,low_light,mild,none,0.6067999601364136
PaDiM,VisA,cashew,123,rescue,low_light,mild,CLAHE,0.6281999945640564
PaDiM,VisA,cashew,123,rescue,low_light,mild,Retinex,0.5834000110626221
PaDiM,VisA,cashew,123,degradation,low_light,moderate,none,0.5722000002861023
PaDiM,VisA,cashew,123,rescue,low_light,moderate,CLAHE,0.6158000230789185
PaDiM,VisA,cashew,123,rescue,low_light,moderate,Retinex,0.4523999989032745
PaDiM,VisA,cashew,123,degradation,low_light,severe,none,0.3741999864578247
PaDiM,VisA,cashew,123,rescue,low_light,severe,CLAHE,0.6068000793457031
PaDiM,VisA,cashew,123,rescue,low_light,severe,Retinex,0.4494000077247619
PaDiM,VisA,cashew,123,degradation,gaussian_blur,mild,none,0.6066000461578369
PaDiM,VisA,cashew,123,rescue,gaussian_blur,mild,Wiener,0.5468000173568726
PaDiM,VisA,cashew,123,degradation,gaussian_blur,moderate,none,0.5479999780654907
PaDiM,VisA,cashew,123,rescue,gaussian_blur,moderate,Wiener,0.5530999898910522
PaDiM,VisA,cashew,123,degradation,gaussian_blur,severe,none,0.6330000162124634
PaDiM,VisA,cashew,123,rescue,gaussian_blur,severe,Wiener,0.6739000082015991
PaDiM,VisA,cashew,123,degradation,motion_blur,mild,none,0.656000018119812
