model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,held_out
PaDiM,MVTec-AD,bottle,42,degradation,fog_haze,mild,none,0.5388889312744141,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,bottle,42,degradation,fog_haze,moderate,none,0.488095223903656,augmented_loco,leave_one_corruption_out,fog_haze
PaDiM,MVTec-AD,bottle,42,degradation,fog_haze,severe,none,0.5571428537368774,augmented_loco,leave_one_corruption_out,fog_haze
PatchCore,MVTec-AD,cable,42,degradation,low_light,mild,none,0.95652174949646,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,cable,42,degradation,low_light,moderate,none,0.9158545732498169,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,cable,42,degradation,low_light,severe,none,0.8163418173789978,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,cable,42,degradation,low_light,mild,none,0.8107196688652039,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,cable,42,degradation,low_light,moderate,none,0.8150299787521362,augmented_loco,leave_one_corruption_out,low_light
PaDiM,MVTec-AD,cable,42,degradation,low_light,severe,none,0.7052098512649536,augmented_loco,leave_one_corruption_out,low_light
PatchCore,MVTec-AD,cable,42,degradation,gaussian_blur,mild,none,0.9104198217391968,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,cable,42,degradation,gaussian_blur,moderate,none,0.693965494632721,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,cable,42,degradation,gaussian_blur,severe,none,0.6222826242446899,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,cable,42,degradation,gaussian_blur,mild,none,0.7749250531196594,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,cable,42,degradation,gaussian_blur,moderate,none,0.6011993885040283,augmented_loco,leave_one_corruption_out,gaussian_blur
PaDiM,MVTec-AD,cable,42,degradation,gaussian_blur,severe,none,0.6268740892410278,augmented_loco,leave_one_corruption_out,gaussian_blur
PatchCore,MVTec-AD,cable,42,degradation,motion_blur,mild,none,0.6812219619750977,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,cable,42,degradation,motion_blur,moderate,none,0.5196776390075684,augmented_loco,leave_one_corruption_out,motion_blur
PatchCore,MVTec-AD,cable,42,degradation,motion_blur,severe,none,0.4945652186870575,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,cable,42,degradation,motion_blur,mild,none,0.7552474737167358,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,cable,42,degradation,motion_blur,moderate,none,0.6066341400146484,augmented_loco,leave_one_corruption_out,motion_blur
PaDiM,MVTec-AD,cable,42,degradation,motion_blur,severe,none,0.4557721018791199,augmented_loco,leave_one_corruption_out,motion_blur
