model,dataset,category,seed,phase,ctype,severity,rescue,image_AUROC,training,experiment,applied_to
PaDiM,MVTec-AD,bottle,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,low_light,mild,NLM Denoise,0.5738095045089722,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,low_light,moderate,NLM Denoise,0.5,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,bottle,42,rescue,low_light,severe,NLM Denoise,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,clean,none,CLAHE,0.9934408068656921,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,cable,42,rescue,clean,none,Retinex,0.9357196092605591,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,cable,42,rescue,clean,none,Wiener,0.8183096051216125,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,cable,42,rescue,clean,none,Wiener (Motion PSF),0.5,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,cable,42,rescue,clean,none,NLM Denoise,0.9893178343772888,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,cable,42,rescue,clean,none,Dehaze (Dark Channel),0.952023983001709,clean,rescue_on_clean,undegraded
PatchCore,MVTec-AD,cable,42,rescue,fog_haze,mild,CLAHE,0.9094828367233276,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,fog_haze,moderate,CLAHE,0.8433283567428589,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,fog_haze,severe,CLAHE,0.6452398896217346,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,motion_blur,mild,Wiener,0.6628561019897461,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,motion_blur,moderate,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,motion_blur,severe,Wiener,0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,gaussian_blur,mild,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,gaussian_blur,moderate,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,gaussian_blur,severe,Wiener (Motion PSF),0.5,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,sensor_noise,mild,Dehaze (Dark Channel),0.972638726234436,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,sensor_noise,moderate,Dehaze (Dark Channel),0.9394677877426147,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,sensor_noise,severe,Dehaze (Dark Channel),0.8954272270202637,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,low_light,mild,NLM Denoise,0.9224138259887695,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,low_light,moderate,NLM Denoise,0.8630059957504272,clean,rescue_mismatched,wrong_corruption
PatchCore,MVTec-AD,cable,42,rescue,low_light,severe,NLM Denoise,0.7040854692459106,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,cable,42,rescue,clean,none,CLAHE,0.7024924755096436,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,cable,42,rescue,clean,none,Retinex,0.6765367388725281,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,cable,42,rescue,clean,none,Wiener,0.7612444162368774,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,cable,42,rescue,clean,none,Wiener (Motion PSF),0.5301724672317505,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,cable,42,rescue,clean,none,NLM Denoise,0.8146551251411438,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,cable,42,rescue,clean,none,Dehaze (Dark Channel),0.7784857749938965,clean,rescue_on_clean,undegraded
PaDiM,MVTec-AD,cable,42,rescue,fog_haze,mild,CLAHE,0.6028860807418823,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,cable,42,rescue,fog_haze,moderate,CLAHE,0.5341079235076904,clean,rescue_mismatched,wrong_corruption
PaDiM,MVTec-AD,cable,42,rescue,fog_haze,severe,CLAHE,0.5155547261238098,clean,rescue_mismatched,wrong_corruption
